x,y,z,v
-33,9,13,0
-33,8,13,0
-33,7,13,0
-33,6,13,0
-33,5,13,0
-33,4,13,0
-33,3,13,0
-33,2,13,0
-33,1,13,0
-33,0,13,0
-32,0,13,0
-32,1,13,0
-32,2,13,0
-32,3,13,0
-32,4,13,0
-32,5,13,0
-32,6,13,0
-32,7,13,0
-32,8,13,0
-32,9,13,0
-32,10,13,0
-32,11,13,0
-32,12,13,0
-32,13,13,0
-32,14,13,0
-32,15,13,0
-32,16,13,0
-32,17,13,0
-32,18,13,0
-32,19,13,0
-32,20,13,0
-32,21,13,0
-32,22,13,0
-32,23,13,0
-32,24,13,0
-32,25,13,0
-32,26,13,0
-32,27,13,0
-32,28,13,0
-32,29,13,0
-32,30,13,0
-32,31,13,0
-32,32,13,0
-32,33,13,0
-32,34,13,0
-32,35,13,0
-32,36,13,0
-32,37,13,0
-32,38,13,0
-32,39,13,0
-31,39,13,0
-31,38,13,0
-31,37,13,0
-31,36,13,0
-31,35,13,0
-31,34,13,0
-31,33,13,0
-31,32,13,0
-31,31,13,0
-31,30,13,0
-31,29,13,0
-31,28,13,0
-31,27,13,0
-31,26,13,0
-31,25,13,0
-31,24,13,0
-31,23,13,0
-31,22,13,0
-31,21,13,0
-31,20,13,0
-31,19,13,0
-31,18,13,0
-31,17,13,0
-31,16,13,0
-31,15,13,0
-31,14,13,0
-31,13,13,0
-31,12,13,0
-31,11,13,0
-31,10,13,0
-31,9,13,0
-31,8,13,0
-31,7,13,0
-31,6,13,0
-31,5,13,0
-31,4,13,0
-31,3,13,0
-31,2,13,0
-31,1,13,0
-31,0,13,0
-30,0,13,0
-30,1,13,0
-30,2,13,0
-30,3,13,0
-30,4,13,0
-30,5,13,0
-30,6,13,0
-30,7,13,0
-30,8,13,0
-30,9,13,0
-30,10,13,0
-30,11,13,0
-30,12,13,0
-30,13,13,0
-30,14,13,0
-30,15,13,0
-30,16,13,0
-30,17,13,0
-30,18,13,0
-30,19,13,0
-30,20,13,0
-30,21,13,0
-30,22,13,0
-30,23,13,0
-30,24,13,0
-30,25,13,0
-30,26,13,0
-30,27,13,0
-30,28,13,0
-30,29,13,0
-30,30,13,0
-30,31,13,0
-30,32,13,0
-30,33,13,0
-30,34,13,0
-30,35,13,0
-30,36,13,0
-30,37,13,0
-30,38,13,0
-30,39,13,0
-29,39,13,0
-29,38,13,0
-29,37,13,0
-29,36,13,0
-29,35,13,0
-29,34,13,0
-29,33,13,0
-29,32,13,0
-29,31,13,0
-29,30,13,0
-29,29,13,0
-29,28,13,0
-29,27,13,0
-29,26,13,0
-29,25,13,0
-29,24,13,0
-29,23,13,0
-29,22,13,0
-29,21,13,0
-29,20,13,0
-29,19,13,0
-29,18,13,0
-29,17,13,0
-29,16,13,0
-29,15,13,0
-29,14,13,0
-29,13,13,0
-29,12,13,0
-29,11,13,0
-29,10,13,0
-29,9,13,0
-29,8,13,0
-29,7,13,0
-29,6,13,0
-29,5,13,0
-29,4,13,0
-29,3,13,0
-29,2,13,0
-29,1,13,0
-29,0,13,0
-28,0,13,0
-28,1,13,0
-28,2,13,0
-28,3,13,0
-28,4,13,0
-28,5,13,0
-28,6,13,0
-28,7,13,0
-28,8,13,0
-28,9,13,0
-28,10,13,0
-28,11,13,0
-28,12,13,0
-28,13,13,0
-28,14,13,0
-28,15,13,0
-28,16,13,0
-28,17,13,0
-28,18,13,0
-28,19,13,0
-28,20,13,0
-28,21,13,0
-28,22,13,0
-28,23,13,0
-28,24,13,0
-28,25,13,0
-28,26,13,0
-28,27,13,0
-28,28,13,0
-28,29,13,0
-28,30,13,0
-28,31,13,0
-28,32,13,0
-28,33,13,0
-28,34,13,0
-28,35,13,0
-28,36,13,0
-28,37,13,0
-28,38,13,0
-28,39,13,0
-27,39,13,0
-27,38,13,0
-27,37,13,0
-27,36,13,0
-27,35,13,0
-27,34,13,0
-27,33,13,0
-27,32,13,0
-27,31,13,0
-27,30,13,0
-27,29,13,0
-27,28,13,0
-27,27,13,0
-27,26,13,0
-27,25,13,0
-27,24,13,0
-27,23,13,0
-27,22,13,0
-27,21,13,0
-27,20,13,0
-27,19,13,0
-27,18,13,0
-27,17,13,0
-27,16,13,0
-27,15,13,0
-27,14,13,0
-27,13,13,0
-27,12,13,0
-27,11,13,0
-27,10,13,0
-27,9,13,0
-27,8,13,0
-27,7,13,0
-27,6,13,0
-27,5,13,0
-27,4,13,0
-27,3,13,0
-27,2,13,0
-27,1,13,0
-27,0,13,0
-26,0,13,20
-26,1,13,20
-26,2,13,19
-26,3,13,20
-26,4,13,0
-26,5,13,0
-26,6,13,0
-26,7,13,0
-26,8,13,0
-26,9,13,0
-26,10,13,0
-26,11,13,0
-26,12,13,0
-26,13,13,0
-26,14,13,0
-26,15,13,0
-26,16,13,0
-26,17,13,0
-26,18,13,0
-26,19,13,0
-26,20,13,0
-26,21,13,0
-26,22,13,0
-26,23,13,0
-26,24,13,0
-26,25,13,0
-26,26,13,0
-26,27,13,0
-26,28,13,0
-26,29,13,0
-26,30,13,0
-26,31,13,0
-26,32,13,0
-26,33,13,0
-26,34,13,0
-26,35,13,0
-26,36,13,0
-26,37,13,0
-26,38,13,0
-26,39,13,0
-25,39,13,0
-25,38,13,0
-25,37,13,0
-25,36,13,0
-25,35,13,0
-25,34,13,0
-25,33,13,0
-25,32,13,0
-25,31,13,0
-25,30,13,0
-25,29,13,0
-25,28,13,0
-25,27,13,0
-25,26,13,0
-25,25,13,0
-25,24,13,0
-25,23,13,0
-25,22,13,0
-25,21,13,0
-25,20,13,0
-25,19,13,0
-25,18,13,0
-25,17,13,0
-25,16,13,0
-25,15,13,0
-25,14,13,0
-25,13,13,0
-25,12,13,0
-25,11,13,0
-25,10,13,0
-25,9,13,0
-25,8,13,0
-25,7,13,20
-25,6,13,20
-25,5,13,20
-25,4,13,20
-25,3,13,20
-25,2,13,20
-25,1,13,20
-25,0,13,20
-24,0,13,20
-24,1,13,20
-24,2,13,20
-24,3,13,20
-24,4,13,20
-24,5,13,20
-24,6,13,20
-24,7,13,20
-24,8,13,20
-24,9,13,20
-24,10,13,20
-24,11,13,0
-24,12,13,0
-24,13,13,0
-24,14,13,0
-24,15,13,0
-24,16,13,0
-24,17,13,0
-24,18,13,0
-24,19,13,0
-24,20,13,0
-24,21,13,0
-24,22,13,0
-24,23,13,0
-24,24,13,0
-24,25,13,0
-24,26,13,0
-24,27,13,0
-24,28,13,0
-24,29,13,0
-24,30,13,0
-24,31,13,0
-24,32,13,0
-24,33,13,0
-24,34,13,0
-24,35,13,0
-24,36,13,0
-24,37,13,0
-24,38,13,0
-24,39,13,0
-23,39,13,0
-23,38,13,0
-23,37,13,0
-23,36,13,0
-23,35,13,0
-23,34,13,0
-23,33,13,0
-23,32,13,0
-23,31,13,0
-23,30,13,0
-23,29,13,0
-23,28,13,0
-23,27,13,0
-23,26,13,0
-23,25,13,0
-23,24,13,0
-23,23,13,0
-23,22,13,0
-23,21,13,0
-23,20,13,0
-23,19,13,0
-23,18,13,0
-23,17,13,0
-23,16,13,0
-23,15,13,0
-23,14,13,0
-23,13,13,0
-23,12,13,20
-23,11,13,20
-23,10,13,20
-23,9,13,20
-23,8,13,20
-23,7,13,20
-23,6,13,20
-23,5,13,20
-23,4,13,20
-23,3,13,20
-23,2,13,20
-23,1,13,20
-23,0,13,20
-22,0,13,20
-22,1,13,20
-22,2,13,20
-22,3,13,20
-22,4,13,20
-22,5,13,20
-22,6,13,20
-22,7,13,20
-22,8,13,20
-22,9,13,20
-22,10,13,20
-22,11,13,20
-22,12,13,20
-22,13,13,20
-22,14,13,4
-22,15,13,0
-22,16,13,0
-22,17,13,0
-22,18,13,0
-22,19,13,0
-22,20,13,0
-22,21,13,0
-22,22,13,0
-22,23,13,0
-22,24,13,0
-22,25,13,0
-22,26,13,0
-22,27,13,0
-22,28,13,0
-22,29,13,0
-22,30,13,0
-22,31,13,0
-22,32,13,0
-22,33,13,0
-22,34,13,0
-22,35,13,0
-22,36,13,0
-22,37,13,0
-22,38,13,0
-22,39,13,0
-21,39,13,0
-21,38,13,0
-21,37,13,0
-21,36,13,0
-21,35,13,0
-21,34,13,0
-21,33,13,0
-21,32,13,0
-21,31,13,0
-21,30,13,0
-21,29,13,0
-21,28,13,0
-21,27,13,0
-21,26,13,0
-21,25,13,0
-21,24,13,0
-21,23,13,0
-21,22,13,0
-21,21,13,0
